Country,Last,Previous,Reference,Unit
Argentina,10.3,-9.9,Dec-2021,%
Australia,3.62,2.24,Dec-2021,%
Brazil,4.6,-3.3,Dec-2021,%
Canada,4.54,-4.89,Dec-2021,%
China,8.1,2.2,Dec-2021,%
France,6.8,-7.8,Dec-2021,%
Germany,2.6,-4.6,Dec-2021,%
India,8.7,-6.6,Mar-2022,%
Indonesia,3.69,-2.07,Dec-2021,%
Italy,6.6,-9,Dec-2021,%
Japan,1.7,-4.5,Dec-2021,%
Mexico,4.8,-8.2,Dec-2021,%
Netherlands,5,-3.8,Dec-2021,%
Russia,4.7,-2.7,Dec-2021,%
Saudi Arabia,3.24,-4.14,Dec-2021,%
Singapore,7.61,-4.14,Dec-2021,%
South Africa,4.91,-6.43,Dec-2021,%
South Korea,4.02,-0.85,Dec-2021,%
Spain,5.5,-10.8,Dec-2021,%
Switzerland,4.22,-2.38,Dec-2021,%
Turkey,11.4,1.8,Dec-2021,%
United Kingdom,7.4,-11,Dec-2021,%
United States,5.9,-2.8,Dec-2021,%
